Gender,Working_City,Marriage status/ Kids,Annual Salary,Age,Work Experience,Average Commute Time,Type of Industry,Job Profile,Work Mode,Employment Type,Flexibility in office Timings,Number of total paid leaves,Working days in Week,Actual Work hours per week,Expected Work hours per week,Worklife Balance
Male,Pune,Married and No Kids,35Lacs +,31,6,0,"Banking, Finance & Insurance",Technology,Work From Home (WFH),Permanent - Company Payroll,Semi-Fixed working hours,40,Mon to Fri or 5 days,55,45,1
Male,Mumbai,Un Married,15Lacs to 20Lacs,30,3,30,"Banking, Finance & Insurance",Others,Work From Office (WFO),Permanent - Company Payroll,Fixed working hours,21,Mon to Fri & Alternate Saturdays,54,45,1
Male,Mumbai,Un Married,20Lacs to 25Lacs,28,3,90,"Banking, Finance & Insurance",Technology,Work From Office (WFO),Permanent - Company Payroll,Semi-Fixed working hours,22,Mon to Fri & Alternate Saturdays,60,45,1
Female,Others,Married and No Kids,5Lacs to 10Lacs,29,4,25,Medical/ Healthcare,Operations,Work From Office (WFO),Permanent - Company Payroll,Fixed working hours,30,Mon to Sat or 6 days,50,45,1
Male,Pune,Un Married,5Lacs to 10Lacs,29,5,15,"Banking, Finance & Insurance",Technology,Work From Office (WFO),Internship,Liberal working hours,0,Mon to Fri or 5 days,45,45,1
Male,Pune,Un Married,10Lacs to 15Lacs,26,3,100,"Banking, Finance & Insurance",Technology,Hybrid (WFH + WFO),Permanent - Company Payroll,Liberal working hours,40,Mon to Fri or 5 days,45,45,1
Male,Pune,Un Married,10Lacs to 15Lacs,24,3,30,"Banking, Finance & Insurance",Technology,Hybrid (WFH + WFO),Permanent - Company Payroll,Fixed working hours,40,Mon to Fri or 5 days,35,40,1
Male,Pune,Married and No Kids,15Lacs to 20Lacs,28,5,45,"Banking, Finance & Insurance",Technology,Hybrid (WFH + WFO),Permanent - Company Payroll,Semi-Fixed working hours,40,Mon to Fri or 5 days,45,45,1
Male,Pune,Married and No Kids,0 to 5 Lacs,28,7,60,Manufacturing,Engineering,Work From Office (WFO),Permanent - Company Payroll,Semi-Fixed working hours,24,Mon to Fri or 5 days,55,40,1
Male,Pune,Married and have Kids,15Lacs to 20Lacs,36,15,45,Others,Engineering,Hybrid (WFH + WFO),Permanent - Company Payroll,Liberal working hours,29,Mon to Fri or 5 days,60,50,1
Male,Bangalore,Un Married,0 to 5 Lacs,24,2,40,Information & Technology,Engineering,Work From Office (WFO),Contract Basis,Fixed working hours,0,Mon to Sat or 6 days,42,42,1
Male,Pune,Married and have Kids,25Lacs to 30Lacs,30,7,60,Consulting,Technology,Hybrid (WFH + WFO),Internship,Fixed working hours,30,Mon to Fri or 5 days,40,40,1
Female,Mumbai,Un Married,30Lacs to 35Lacs,29,6,35,"Banking, Finance & Insurance",Others,Work From Home (WFH),Permanent - Company Payroll,Semi-Fixed working hours,30,Mon to Fri & Alternate Saturdays,40,48,1
